dataset,method,protocol,budget,seed,fault_type,exact_fault_recall,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,PCA-Triage,fixed_full_data,0.5,42,20,0.6948024948024948,0.9793473771168938,0.9858627858627859,0.9825942809780357,0.5263157894736842,0.47368421052631576,1.0,0.2,0.0,10.0,4.0,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,1,0.9796257796257797,0.9970772442588727,0.992931392931393,0.995,0.07368421052631578,0.9263157894736842,1.0,1.8,1.0,4.0,1.6,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,2,0.9692307692307692,0.9966201943388255,0.9808731808731809,0.9886839899413243,0.08421052631578947,0.9157894736842105,1.0,5.0,5.0,5.0,2.0,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,3,0.1837837837837838,0.9916129032258064,0.6390852390852391,0.77724399494311,0.1368421052631579,0.8631578947368421,1.0,7.4,6.0,7.0,2.8,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,4,0.9683991683991684,0.9975062344139651,0.997920997920998,0.9977135730617335,0.06315789473684211,0.9368421052631579,1.0,1.0,1.0,5.0,2.0,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,5,0.7110187110187111,0.9946284691136974,0.923908523908524,0.9579650786807502,0.12631578947368421,0.8736842105263158,1.0,1.6,2.0,6.0,2.4,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,6,0.9975051975051975,0.9958523434259643,0.9983367983367983,0.997093023255814,0.10526315789473684,0.8947368421052632,1.0,0.6,1.0,3.0,1.2,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,7,0.9945945945945946,0.9962671090833679,0.9987525987525988,0.9975083056478405,0.09473684210526316,0.9052631578947369,1.0,0.6,1.0,6.0,2.4,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,8,0.7854469854469854,0.9961423060437206,0.9663201663201664,0.9810046433094133,0.09473684210526316,0.9052631578947369,1.0,7.6,5.0,3.0,1.2,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,9,0.12307692307692308,0.9932975871313673,0.6162162162162163,0.76058506543495,0.10526315789473684,0.8947368421052632,1.0,5.8,2.0,5.0,2.0,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,10,0.5359667359667359,0.9958715596330275,0.9027027027027027,0.9470010905125409,0.09473684210526316,0.9052631578947369,1.0,9.2,5.0,4.0,1.6,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,11,0.6885654885654886,0.9982166740971913,0.930977130977131,0.9634251290877797,0.042105263157894736,0.9578947368421052,1.0,4.4,4.0,1.0,0.4,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,12,0.7625779625779626,0.9974758098443416,0.9858627858627859,0.9916352990380594,0.06315789473684211,0.9368421052631579,1.0,3.4,4.0,5.0,2.0,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,13,0.6948024948024948,0.9939733103745158,0.9600831600831601,0.9767343485617598,0.14736842105263157,0.8526315789473684,1.0,6.8,6.0,5.0,2.0,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,14,0.9530145530145531,0.9937836717778699,0.9970893970893971,0.9954337899543378,0.15789473684210525,0.8421052631578947,1.0,1.4,2.0,7.0,2.8,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,15,0.10810810810810811,0.9933774834437086,0.6237006237006237,0.7662835249042146,0.10526315789473684,0.8947368421052632,1.0,7.0,0.0,3.0,1.2,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,16,0.3866943866943867,0.9966167230546158,0.8573804573804574,0.9217702279839071,0.07368421052631578,0.9263157894736842,1.0,5.2,2.0,4.0,1.6,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,17,0.8133056133056134,0.9946784922394678,0.9326403326403326,0.9626609442060086,0.12631578947368421,0.8736842105263158,1.0,8.0,5.0,4.0,1.6,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,18,0.8158004158004158,0.9960070984915705,0.9334719334719335,0.9637261214852972,0.09473684210526316,0.9052631578947369,1.0,2.4,3.0,5.0,2.0,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,19,0.4673596673596674,0.9960861056751468,0.8465696465696466,0.9152618565969881,0.08421052631578947,0.9157894736842105,1.0,2.2,1.0,4.0,1.6,5.0,5.0,0.0
tep,Variance,method_retrained,0.5,42,20,0.651975051975052,0.9953938277291571,0.8985446985446985,0.944493006993007,0.10526315789473684,0.8947368421052632,1.0,5.0,2.0,5.0,2.0,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,1,0.9796257796257797,0.9856144677353063,0.9970893970893971,0.9913187267465895,0.3684210526315789,0.631578947368421,1.0,0.2,0.0,8.0,3.2,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,2,0.9700623700623701,0.9835931091058244,0.9970893970893971,0.9902952715259137,0.42105263157894735,0.5789473684210527,1.0,0.6,0.0,12.0,4.8,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,3,0.08108108108108109,0.9816636851520573,0.9126819126819127,0.9459168282697694,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,18.0,7.2,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,4,0.9584199584199584,0.9864532019704434,0.9991683991683992,0.992770088824623,0.3473684210526316,0.6526315789473685,1.0,0.4,0.0,21.0,8.4,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,5,0.8365904365904366,0.983127572016461,0.9933471933471933,0.9882109617373319,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,9.0,3.6,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,6,0.9975051975051975,0.9824346405228758,1.0,0.9911395013393777,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,13.0,5.2,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,7,0.995010395010395,0.984036021285305,0.9995841995841996,0.9917491749174917,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,15.0,6.0,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,8,0.8045738045738046,0.9835051546391752,0.9916839916839917,0.9875776397515528,0.42105263157894735,0.5789473684210527,1.0,0.2,0.0,12.0,4.8,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,9,0.13014553014553015,0.982573726541555,0.9143451143451143,0.9472323928494508,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,12.0,4.8,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,10,0.6237006237006237,0.9871101871101872,0.9871101871101872,0.9871101871101872,0.3263157894736842,0.6736842105263158,1.0,0.0,0.0,13.0,5.2,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,11,0.7114345114345114,0.9817805383022774,0.9858627858627859,0.9838174273858921,0.4631578947368421,0.5368421052631579,1.0,0.4,0.0,7.0,2.8,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,12,0.716008316008316,0.9852277390233894,0.9983367983367983,0.9917389508467576,0.37894736842105264,0.6210526315789474,1.0,0.2,0.0,11.0,4.4,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,13,0.7118503118503119,0.9826014913007457,0.9862785862785863,0.9844366051047935,0.4421052631578947,0.5578947368421052,1.0,0.2,0.0,13.0,5.2,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,14,0.9380457380457381,0.982420278004906,0.9991683991683992,0.9907235621521335,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,12.0,4.8,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,15,0.1916839916839917,0.9784710017574693,0.925987525987526,0.9515060884426405,0.5157894736842106,0.4842105263157895,1.0,0.4,0.0,16.0,6.4,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,16,0.5351351351351351,0.9882352941176471,0.977962577962578,0.9830721003134796,0.29473684210526313,0.7052631578947368,1.0,0.0,0.0,12.0,4.8,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,17,0.7958419958419959,0.9805060141020323,0.982952182952183,0.9817275747508306,0.49473684210526314,0.5052631578947369,1.0,0.0,0.0,12.0,4.8,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,18,0.8278586278586278,0.9849498327759197,0.9796257796257797,0.9822805920366896,0.37894736842105264,0.6210526315789474,1.0,0.8,0.0,16.0,6.4,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,19,0.6694386694386695,0.9838107098381071,0.9854469854469855,0.9846281678437889,0.4105263157894737,0.5894736842105263,1.0,0.0,0.0,16.0,6.4,5.0,5.0,0.0
tep,Variance,fixed_full_data,0.5,42,20,0.7047817047817048,0.9793303017775941,0.985031185031185,0.9821724709784412,0.5263157894736842,0.47368421052631576,1.0,0.2,0.0,10.0,4.0,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,1,0.9796257796257797,0.9979105725031342,0.992931392931393,0.9954147561483951,0.05263157894736842,0.9473684210526315,1.0,2.4,2.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,2,0.9700623700623701,0.9983115238497257,0.9833679833679834,0.9907834101382489,0.042105263157894736,0.9578947368421052,1.0,4.2,3.0,3.0,1.2,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,3,0.1264033264033264,0.9908186687069626,0.5384615384615384,0.6977370689655172,0.12631578947368421,0.8736842105263158,1.0,8.0,2.0,5.0,2.0,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,4,0.9721413721413722,0.9987520798668885,0.9983367983367983,0.9985443959243085,0.031578947368421054,0.968421052631579,1.0,0.8,1.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,5,0.651975051975052,0.9960369881109643,0.9405405405405406,0.9674935842600513,0.09473684210526316,0.9052631578947369,1.0,1.2,1.0,3.0,1.2,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,6,0.9975051975051975,0.9962655601659751,0.9983367983367983,0.99730010384216,0.09473684210526316,0.9052631578947369,1.0,0.8,1.0,1.0,0.4,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,7,0.9941787941787942,0.9966777408637874,0.997920997920998,0.9972989819239559,0.08421052631578947,0.9157894736842105,1.0,0.8,1.0,3.0,1.2,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,8,0.7467775467775468,0.9969749351771824,0.9592515592515592,0.9777495232040686,0.07368421052631578,0.9263157894736842,1.0,7.2,1.0,1.0,0.4,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,9,0.1155925155925156,0.9943820224719101,0.5887733887733888,0.739618699399321,0.08421052631578947,0.9157894736842105,1.0,6.8,3.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,10,0.36632016632016634,0.9980861244019139,0.8673596673596674,0.9281423804226919,0.042105263157894736,0.9578947368421052,1.0,9.0,9.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,11,0.6565488565488565,0.9959276018099548,0.9151767151767152,0.9538461538461539,0.09473684210526316,0.9052631578947369,1.0,4.2,2.0,3.0,1.2,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,12,0.7451143451143452,0.9991557619248628,0.9841995841995842,0.9916212819438626,0.021052631578947368,0.9789473684210527,1.0,4.0,3.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,13,0.6382536382536382,0.9969418960244648,0.9488565488565489,0.9723050703025139,0.07368421052631578,0.9263157894736842,1.0,6.2,3.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,14,0.9617463617463617,0.9979184013322231,0.9966735966735967,0.9972956105679218,0.05263157894736842,0.9473684210526315,1.0,1.6,2.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,15,0.12390852390852392,0.9950980392156863,0.5908523908523908,0.7414557787633708,0.07368421052631578,0.9263157894736842,1.0,8.0,2.0,4.0,1.6,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,16,0.2972972972972973,0.9952431289640592,0.7829521829521829,0.8764254130788922,0.09473684210526316,0.9052631578947369,1.0,6.6,5.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,17,0.6948024948024948,0.9960176991150442,0.935966735966736,0.965058949624866,0.09473684210526316,0.9052631578947369,1.0,8.0,2.0,3.0,1.2,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,18,0.7588357588357588,0.9977179370150616,0.908939708939709,0.9512619669277633,0.05263157894736842,0.9473684210526315,1.0,5.0,2.0,2.0,0.8,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,19,0.43534303534303537,0.9967585089141004,0.7671517671517671,0.8670112781954887,0.06315789473684211,0.9368421052631579,1.0,2.2,1.0,1.0,0.4,5.0,5.0,0.0
tep,Threshold,method_retrained,0.5,42,20,0.7355509355509355,0.9986382206082615,0.9147609147609148,0.9548611111111112,0.031578947368421054,0.968421052631579,1.0,8.6,10.0,3.0,1.2,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,1,0.9787941787941788,0.9856144677353063,0.9970893970893971,0.9913187267465895,0.3684210526315789,0.631578947368421,1.0,0.2,0.0,8.0,3.2,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,2,0.9700623700623701,0.9835931091058244,0.9970893970893971,0.9902952715259137,0.42105263157894735,0.5789473684210527,1.0,0.6,0.0,12.0,4.8,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,3,0.07151767151767152,0.9820333041191937,0.9318087318087318,0.9562620012801365,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,18.0,7.2,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,4,0.9708939708939709,0.9864532019704434,0.9991683991683992,0.992770088824623,0.3473684210526316,0.6526315789473685,1.0,0.4,0.0,21.0,8.4,5.0,5.0,0.0
